"survey_date","mean_daily_Q","mean_survey_Q","event_id"
2015-09-27,0.0215512200201723,0.026289845527907,"w00"
2015-10-27,6.51667480745463,7.50079480929553,"w01"
2015-11-09,14.4882572953083,55.1362298734313,"w02"
2015-11-19,92.4174173501136,128.081741318546,"w03"
2015-11-20,30.2008063906566,27.2557573496229,"w04"
2015-12-09,13.9310044866238,14.5390618447216,"w05"
2016-01-28,32.7054432779986,28.9881480389168,"w06"
2016-02-02,15.8972909963251,15.3254761833335,"w07"
2016-02-14,8.98654119752073,8.76478380611514,"w08"
2016-02-16,85.7625268500993,56.2937484155196,"w09"
2016-02-23,51.5512401183491,90.6213569811211,"w10"
2016-03-04,13.6414236294363,13.9296275513358,"w11"
2016-03-04,13.6414236294363,14.2560063229533,"w12"
